"time","DOC","Cs","X"
0.56,0.398606205548385,0.658610461451615,"PILF"
0.57,0.40201170207245,0.65520496492755,"PILF"
0.58,0.405356939382051,0.651859727617948,"PILF"
0.59,0.408642974869836,0.648573692130163,"PILF"
0.6,0.411870847686681,0.645345819313318,"PILF"
0.61,0.41504157904535,0.642175087954649,"PILF"
0.62,0.418156172519487,0.639060494480513,"PILF"
0.63,0.421215614338004,0.636001052661996,"PILF"
0.64,0.424220873674927,0.632995793325072,"PILF"
0.65,0.427172902934749,0.63004376406525,"PILF"
0.66,0.430072638033347,0.627144028966653,"PILF"
0.67,0.432920998674523,0.624295668325477,"PILF"
0.68,0.435718888622231,0.621497778377768,"PILF"
0.69,0.43846719596853,0.618749471031469,"PILF"
0.7,0.441166793397332,0.616049873602668,"PILF"
0.71,0.443818538443996,0.613398128556003,"PILF"
0.72,0.446423273750827,0.610793393249173,"PILF"
0.73,0.448981827318522,0.608234839681478,"PILF"
0.74,0.451495012753638,0.605721654246362,"PILF"
0.75,0.453963629512116,0.603253037487884,"PILF"
0.76,0.456388463138925,0.600828203861075,"PILF"
0.77,0.458770285503884,0.598446381496116,"PILF"
0.78,0.461109855033696,0.596106811966304,"PILF"
0.79,0.463407916940271,0.593808750059729,"PILF"
0.8,0.46566520344537,0.591551463554629,"PILF"
0.81,0.467882434001635,0.589334232998365,"PILF"
0.82,0.470060315510041,0.587156351489959,"PILF"
0.83,0.472199542533844,0.585017124466155,"PILF"
0.84,0.474300797509051,0.582915869490949,"PILF"
0.85,0.476364750951471,0.580851916048528,"PILF"
0.86,0.47839206166041,0.578824605339589,"PILF"
0.87,0.48038337691903,0.576833290080969,"PILF"
0.88,0.482339332691448,0.574877334308551,"PILF"
0.89,0.484260553816607,0.572956113183393,"PILF"
0.9,0.48614765419897,0.57106901280103,"PILF"
0.91,0.488001236996089,0.569215430003911,"PILF"
0.92,0.489821894803084,0.567394772196916,"PILF"
0.93,0.491610209834092,0.565606457165908,"PILF"
0.94,0.493366754100718,0.563849912899282,"PILF"
0.95,0.495092089587543,0.562124577412457,"PILF"
0.96,0.496786768424727,0.560429898575273,"PILF"
0.97,0.498451333057756,0.558765333942244,"PILF"
0.98,0.500086316414367,0.557130350585633,"PILF"
0.99,0.501692242068711,0.55552442493129,"PILF"
1,0.503269624402772,0.553947042597228,"PILF"
1.01,0.504818968765113,0.552397698234887,"PILF"
1.02,0.506340771626957,0.550875895373043,"PILF"
1.03,0.507835520735678,0.549381146264322,"PILF"
1.04,0.509303695265714,0.547912971734287,"PILF"
1.05,0.510745765966959,0.546470901033041,"PILF"
1.06,0.51216219531067,0.54505447168933,"PILF"
1.07,0.513553437632916,0.543663229367084,"PILF"
1.08,0.514919939275626,0.542296727724374,"PILF"
1.09,0.516262138725264,0.540954528274736,"PILF"
1.1,0.517580466749163,0.539636200250837,"PILF"
1.11,0.518875346529566,0.538341320470434,"PILF"
1.12,0.520147193795402,0.537069473204598,"PILF"
1.13,0.521396416951837,0.535820250048163,"PILF"
1.14,0.522623417207638,0.534593249792362,"PILF"
1.15,0.523828588700373,0.533388078299627,"PILF"
1.16,0.52501231861949,0.53220434838051,"PILF"
1.17,0.526174987327304,0.531041679672696,"PILF"
1.18,0.527316968477982,0.529899698522018,"PILF"
1.19,0.528438629134431,0.52877803786557,"PILF"
1.2,0.52954032988322,0.52767633711678,"PILF"
1.21,0.530622424947565,0.526594242052435,"PILF"
1.22,0.531685262298378,0.525531404701622,"PILF"
1.23,0.532729183763423,0.524487483236577,"PILF"
1.24,0.533754525134609,0.523462141865391,"PILF"
1.25,0.534761616273451,0.52245505072655,"PILF"
1.26,0.535750781214723,0.521465885785277,"PILF"
1.27,0.536722338268346,0.520494328731654,"PILF"
1.28,0.537676600119526,0.519540066880474,"PILF"
1.29,0.538613873927173,0.518602793072827,"PILF"
1.3,0.539534461420639,0.517682205579361,"PILF"
1.31,0.540438658994793,0.516778008005207,"PILF"
1.32,0.541326757803461,0.515889909196539,"PILF"
1.33,0.542199043851262,0.515017623148738,"PILF"
1.34,0.543055798083867,0.514160868916133,"PILF"
1.35,0.543897296476699,0.513319370523301,"PILF"
1.36,0.54472381012211,0.51249285687789,"PILF"
1.37,0.545535605315055,0.511681061684945,"PILF"
1.38,0.546332943637284,0.510883723362716,"PILF"
1.39,0.547116082040091,0.510100584959909,"PILF"
1.4,0.547885272925622,0.509331394074378,"PILF"
1.41,0.548640764226789,0.508575902773211,"PILF"
1.42,0.549382799485798,0.507833867514202,"PILF"
1.43,0.550111617931315,0.507105049068685,"PILF"
1.44,0.550827454554305,0.506389212445695,"PILF"
1.45,0.55153054018255,0.50568612681745,"PILF"
1.46,0.552221101553882,0.504995565446118,"PILF"
