"time","DOC.x","DOC.y","Cs","X"
0.05,2.92425,2.86118443838184,1.07761556161816,"WIHS"
0.22,2.638,2.6691147465483,1.26968525345171,"WIHS"
6.05,2.5365,2.51643022598164,1.42236977401839,"WIHS"
12.05,2.52375,2.51643022598156,1.42236977401848,"WIHS"
24.05,2.6355,2.51643022598156,1.42236977401848,"WIHS"
0,0.06885,0.06885,1.021533333,"WILF"
1.05,0.55455,0.554508258047143,0.535875074952856,"WILF"
6.05,0.6782,0.689771483463209,0.400611849536792,"WILF"
12.05,0.7014,0.68986717183994,0.400516161160054,"WILF"
24.05,0.785,0.689867187698468,0.400516145301509,"WILF"
0,0.08375,0.08375,0.952133333,"WILS"
1.05,0.38335,0.38337509979094,0.652508233209061,"WILS"
6.05,0.4638,0.453403105586262,0.582480227413735,"WILS"
12.05,0.44305,0.453428540016643,0.582454792983366,"WILS"
24.05,0.5269,0.453428541911089,0.58245479108894,"WILS"
0,3.0025,3.0025,0.968466667,"WMHF"
1.05,3.315,3.30835428657596,0.662612380424037,"WMHF"
6.05,3.5265,3.57033618228605,0.400630484713948,"WMHF"
12.05,3.61725,3.57749562744046,0.393471039559556,"WMHF"
24.05,3.4215,3.57759048639623,0.393376180603614,"WMHF"
0,2.9545,2.9545,0.971433333,"WMHS"
1.05,2.7945,2.79449894071927,1.13143439228073,"WMHS"
6.05,2.7915,2.77987481203837,1.14605852096164,"WMHS"
12.05,2.76825,2.77987470331109,1.14605862968895,"WMHS"
24.05,2.7745,2.77987470331109,1.14605862968899,"WMHS"
0,0.04185,0.04185,1.001633333,"WMLF"
1.05,0.6248,0.624294816358857,0.419188516641142,"WMLF"
6.05,0.78475,0.834110694787781,0.209372638212218,"WMLF"
12.05,0.88345,0.834488593477391,0.208994739522602,"WMLF"
24.05,0.8753,0.834488785594798,0.208994547405182,"WMLF"
0,0.0721,0.0721,0.990733333,"WMLS"
1.05,0.4986,0.498691616856847,0.564141716143151,"WMLS"
6.05,0.63745,0.611755888982706,0.451077444017292,"WMLS"
12.05,0.5862,0.611822284996346,0.451011048003637,"WMLS"
24.05,0.63825,0.61182229379752,0.451011039202439,"WMLS"
0,3.0375,3.0375,0.981733333,"PCHF"
0.22,3.257,3.29541727048567,0.723816062514334,"PCHF"
0.3,3.301,3.36702277108011,0.652210561919888,"PCHF"
1.05,3.819,3.71376893866219,0.305464394337819,"PCHF"
6.05,3.96075,3.83976761589196,0.179465717108032,"PCHF"
12.05,3.6695,3.83978633690857,0.179446996091315,"PCHF"
24.05,3.95325,3.83978633738561,0.179446995614194,"PCHF"
0,3.125,3.125,0.919966667,"PCHS"
1.05,3.05925,3.05924956043634,0.985717106563662,"PCHS"
6.05,3.06675,3.05587494204559,0.989091724954508,"PCHS"
12.05,3.045,3.05587494012516,0.989091726874987,"PCHS"
24.05,3.117,3.05587494012516,0.989091726874987,"PCHS"
0,0.10055,0.10055,0.995,"PCLF"
0.3,0.44715,0.419228967926724,0.676321032073274,"PCLF"
1.05,0.58585,0.644579926437622,0.450970073562372,"PCLF"
6.05,0.72205,0.68001419233341,0.415535807666576,"PCLF"
