time,X,DOC,type
5,JBHF,7.680670166,Langmuir
5.1,JBHF,7.678139178,Langmuir
5.2,JBHF,7.676287416,Langmuir
5.3,JBHF,7.678157834,Langmuir
5.4,JBHF,7.680028252,Langmuir
5.5,JBHF,7.68189867,Langmuir
5.6,JBHF,7.681269475,Langmuir
5.7,JBHF,7.679416791,Langmuir
5.8,JBHF,7.677564108,Langmuir
5.9,JBHF,7.675711425,Langmuir
6,JBHF,7.675025442,Langmuir
6.1,JBHF,7.678529512,Langmuir
6.2,JBHF,7.682033582,Langmuir
6.3,JBHF,7.685537651,Langmuir
6.4,JBHF,7.689041721,Langmuir
6.5,JBHF,7.685030948,Langmuir
6.6,JBHF,7.680197123,Langmuir
6.7,JBHF,7.675363299,Langmuir
6.8,JBHF,7.673895679,Langmuir
6.9,JBHF,7.677306629,Langmuir
7,JBHF,7.68071758,Langmuir
7.1,JBHF,7.683212456,Langmuir
7.2,JBHF,7.681176252,Langmuir
7.3,JBHF,7.679140047,Langmuir
7.4,JBHF,7.677103842,Langmuir
7.5,JBHF,7.67697312,Langmuir
7.6,JBHF,7.679353737,Langmuir
7.7,JBHF,7.681734355,Langmuir
7.8,JBHF,7.684114972,Langmuir
7.9,JBHF,7.685426814,Langmuir
8,JBHF,7.681792487,Langmuir
8.1,JBHF,7.678158161,Langmuir
8.2,JBHF,7.674523834,Langmuir
8.3,JBHF,7.672441866,Langmuir
8.4,JBHF,7.676478973,Langmuir
8.5,JBHF,7.68051608,Langmuir
8.6,JBHF,7.684553186,Langmuir
8.7,JBHF,7.683510423,Langmuir
8.8,JBHF,7.680587789,Langmuir
8.9,JBHF,7.677665155,Langmuir
9,JBHF,7.676200782,Langmuir
9.1,JBHF,7.678510912,Langmuir
9.2,JBHF,7.680821041,Langmuir
9.3,JBHF,7.68313117,Langmuir
9.4,JBHF,7.683242411,Langmuir
9.5,JBHF,7.68047599,Langmuir
9.6,JBHF,7.67770957,Langmuir
9.7,JBHF,7.674943149,Langmuir
9.8,JBHF,7.67453763,Langmuir
9.9,JBHF,7.678084379,Langmuir
10,JBHF,7.681631127,Langmuir
10.1,JBHF,7.685177876,Langmuir
10.2,JBHF,7.684639141,Langmuir
10.3,JBHF,7.68114004,Langmuir
10.4,JBHF,7.677640938,Langmuir
10.5,JBHF,7.674468826,Langmuir
10.6,JBHF,7.67725666,Langmuir
10.7,JBHF,7.680044493,Langmuir
10.8,JBHF,7.682832326,Langmuir
10.9,JBHF,7.683197504,Langmuir
11,JBHF,7.680636904,Langmuir
11.1,JBHF,7.678076303,Langmuir
11.2,JBHF,7.675515703,Langmuir
11.3,JBHF,7.676207965,Langmuir
11.4,JBHF,7.679185468,Langmuir
11.5,JBHF,7.682162972,Langmuir
11.6,JBHF,7.685140476,Langmuir
11.7,JBHF,7.683848067,Langmuir
11.8,JBHF,7.680451984,Langmuir
11.9,JBHF,7.6770559,Langmuir
12,JBHF,7.673659817,Langmuir
12.1,JBHF,7.676538749,Langmuir
12.2,JBHF,7.679746381,Langmuir
12.3,JBHF,7.682954013,Langmuir
12.4,JBHF,7.684006323,Langmuir
12.5,JBHF,7.681227956,Langmuir
12.6,JBHF,7.678449589,Langmuir
12.7,JBHF,7.675671222,Langmuir
12.8,JBHF,7.676590266,Langmuir
12.9,JBHF,7.67934388,Langmuir
13,JBHF,7.682097495,Langmuir
13.1,JBHF,7.684851109,Langmuir
13.2,JBHF,7.682806193,Langmuir
13.3,JBHF,7.679734332,Langmuir
13.4,JBHF,7.676662472,Langmuir
13.5,JBHF,7.673590611,Langmuir
13.6,JBHF,7.676812277,Langmuir
13.7,JBHF,7.68006667,Langmuir
13.8,JBHF,7.683321063,Langmuir
13.9,JBHF,7.684668903,Langmuir
14,JBHF,7.681616631,Langmuir
14.1,JBHF,7.678564359,Langmuir
14.2,JBHF,7.675512088,Langmuir
14.3,JBHF,7.676295315,Langmuir
14.4,JBHF,7.679122273,Langmuir
14.5,JBHF,7.681949231,Langmuir
14.6,JBHF,7.68477619,Langmuir
14.7,JBHF,7.682368227,Langmuir
14.8,JBHF,7.679486976,Langmuir
14.9,JBHF,7.676605724,Langmuir
15,JBHF,7.674329849,Langmuir
15.1,JBHF,7.677422764,Langmuir
15.2,JBHF,7.68051568,Langmuir
15.3,JBHF,7.683608595,Langmuir
15.4,JBHF,7.684662467,Langmuir
15.5,JBHF,7.681518701,Langmuir
15.6,JBHF,7.678374936,Langmuir
15.7,JBHF,7.675231171,Langmuir
15.8,JBHF,7.675958549,Langmuir
15.9,JBHF,7.678948186,Langmuir
16,JBHF,7.681937822,Langmuir
16.1,JBHF,7.684927459,Langmuir
16.2,JBHF,7.682385991,Langmuir
16.3,JBHF,7.679507106,Langmuir
16.4,JBHF,7.676628222,Langmuir
16.5,JBHF,7.674842023,Langmuir
16.6,JBHF,7.67779861,Langmuir
16.7,JBHF,7.680755198,Langmuir
16.8,JBHF,7.683711786,Langmuir
16.9,JBHF,7.684248141,Langmuir
17,JBHF,7.68116764,Langmuir
17.1,JBHF,7.67808714,Langmuir
17.2,JBHF,7.67500664,Langmuir
17.3,JBHF,7.675936243,Langmuir
17.4,JBHF,7.679011037,Langmuir
17.5,JBHF,7.682085832,Langmuir
17.6,JBHF,7.685160626,Langmuir
17.7,JBHF,7.682506784,Langmuir
17.8,JBHF,7.679541888,Langmuir
17.9,JBHF,7.676576993,Langmuir
18,JBHF,7.674974571,Langmuir
18.1,JBHF,7.677901183,Langmuir
18.2,JBHF,7.680827796,Langmuir
18.3,JBHF,7.683754409,Langmuir
18.4,JBHF,7.683872587,Langmuir
18.5,JBHF,7.680878758,Langmuir
18.6,JBHF,7.67788493,Langmuir
18.7,JBHF,7.674891102,Langmuir
18.8,JBHF,7.676175253,Langmuir
18.9,JBHF,7.679235381,Langmuir
19,JBHF,7.682295509,Langmuir
19.1,JBHF,7.685355638,Langmuir
19.2,JBHF,7.682497951,Langmuir
19.3,JBHF,7.679467966,Langmuir
19.4,JBHF,7.676437981,Langmuir
19.5,JBHF,7.674938071,Langmuir
19.6,JBHF,7.67790433,Langmuir
19.7,JBHF,7.680870589,Langmuir
19.8,JBHF,7.683836849,Langmuir
19.9,JBHF,7.683691358,Langmuir
20,JBHF,7.680733048,Langmuir
20.1,JBHF,7.677774738,Langmuir
20.2,JBHF,7.674816428,Langmuir
20.3,JBHF,7.676448052,Langmuir
20.4,JBHF,7.67945878,Langmuir
20.5,JBHF,7.682469509,Langmuir
20.6,JBHF,7.685377498,Langmuir
20.7,JBHF,7.682340047,Langmuir
20.8,JBHF,7.679302596,Langmuir
20.9,JBHF,7.676265145,Langmuir
21,JBHF,7.674943008,Langmuir
21.1,JBHF,7.677952663,Langmuir
21.2,JBHF,7.680962318,Langmuir
21.3,JBHF,7.683971973,Langmuir
21.4,JBHF,7.683631471,Langmuir
21.5,JBHF,7.680660184,Langmuir
21.6,JBHF,7.677688898,Langmuir
21.7,JBHF,7.674717611,Langmuir
21.8,JBHF,7.676631175,Langmuir
21.9,JBHF,7.67961228,Langmuir
22,JBHF,7.682593385,Langmuir
22.1,JBHF,7.68514942,Langmuir
22.2,JBHF,7.682136371,Langmuir
22.3,JBHF,7.679123321,Langmuir
22.4,JBHF,7.676110272,Langmuir
22.5,JBHF,7.675058068,Langmuir
22.6,JBHF,7.678081223,Langmuir
22.7,JBHF,7.681104378,Langmuir
22.8,JBHF,7.684127534,Langmuir
22.9,JBHF,7.683575827,Langmuir
23,JBHF,7.680578561,Langmuir
23.1,JBHF,7.677581294,Langmuir
23.2,JBHF,7.674584028,Langmuir
23.3,JBHF,7.676737066,Langmuir
23.4,JBHF,7.679718721,Langmuir
23.5,JBHF,7.682700377,Langmuir
23.6,JBHF,7.684914872,Langmuir
23.7,JBHF,7.681563461,Langmuir
23.8,JBHF,7.67821205,Langmuir
23.9,JBHF,7.67486064,Langmuir
24,JBHF,7.671509229,Langmuir
0,JBLS,0.10532,Langmuir
0.1,JBLS,0.733089429,Langmuir
0.2,JBLS,0.939257818,Langmuir
0.3,JBLS,1.007315691,Langmuir
0.4,JBLS,1.028559488,Langmuir
0.5,JBLS,1.035659962,Langmuir
0.6,JBLS,1.036837519,Langmuir
0.7,JBLS,1.037296449,Langmuir
0.8,JBLS,1.037755379,Langmuir
0.9,JBLS,1.037072876,Langmuir
1,JBLS,1.036359466,Langmuir
1.1,JBLS,1.03685151,Langmuir
1.2,JBLS,1.037505744,Langmuir
1.3,JBLS,1.037064552,Langmuir
1.4,JBLS,1.036330733,Langmuir
1.5,JBLS,1.036217885,Langmuir
