"time","DOC.x","DOC.y","Cs","X"
1.05,0.58585,0.644624614380353,0.450925385619646,"PCLF"
6.05,0.72205,0.679992923092547,0.415557076907453,"PCLF"
12.05,0.67775,0.679992981719746,0.415557018280255,"PCLF"
24.05,0.8059,0.679992981719753,0.415557018280247,"PCLF"
0,0.0856,0.0856,0.919966667,"PCLS"
0.3,0.37125,0.359669679807513,0.645896987192487,"PCLS"
1.05,0.4139,0.47627200168249,0.52929466531751,"PCLS"
6.05,0.53025,0.482869237642825,0.522697429357176,"PCLS"
12.05,0.4888,0.482869237668692,0.522697429331309,"PCLS"
24.05,0.562,0.482869237668692,0.522697429331309,"PCLS"
0,3.103,3.103,0.988366667,"PIHF"
0.3,3.3075,3.31107279245098,0.78029387454902,"PIHF"
1.05,3.4755,3.46830978757959,0.623056879420413,"PIHF"
6.05,3.4675,3.49222137726556,0.599145289734443,"PIHF"
12.05,3.512,3.4922214021446,0.599145264855407,"PIHF"
24.05,3.43875,3.4922214021446,0.599145264855407,"PIHF"
0,2.9545,2.9545,0.932833333,"PIHS"
1.05,2.676,2.67599288867695,1.21134044432305,"PIHS"
6.05,2.6495,2.66249992261751,1.2248334103825,"PIHS"
12.05,2.6755,2.66249991637618,1.22483341662382,"PIHS"
24.05,2.7615,2.66249991637618,1.22483341662382,"PIHS"
0,0.06885,0.06885,0.988366667,"PILF"
1.05,0.51075,0.510745765966959,0.546470901033041,"PILF"
6.05,0.56265,0.590253712982161,0.46696295401784,"PILF"
12.05,0.61785,0.590263518072597,0.466953148927406,"PILF"
24.05,0.6269,0.590263518271944,0.466953148728056,"PILF"
0,0.08375,0.08375,0.971433333,"PILS"
1.05,0.35575,0.355753091937421,0.699430241062579,"PILS"
6.05,0.38495,0.398950945323234,0.656232387676769,"PILS"
12.05,0.41295,0.398954261877315,0.65622907112269,"PILS"
24.05,0.43525,0.398954261915562,0.656229071084443,"PILS"
0,3.0025,3.0025,0.961833333,"PMHF"
0.05,3.3705,3.36675905948833,0.59757427351167,"PMHF"
0.3,3.52875,3.61005554188658,0.354277791113419,"PMHF"
1.05,3.65925,3.61266838023955,0.351664952760445,"PMHF"
6.05,3.6655,3.61266838407037,0.351664948929626,"PMHF"
12.05,3.591,3.61266838407037,0.351664948929626,"PMHF"
24.05,3.86625,3.61266838407037,0.351664948929626,"PMHF"
0,2.9545,2.9545,0.9264,"PMHS"
0.05,2.9145,2.93916619691206,0.941733803087939,"PMHS"
0.22,2.9175,2.90593134491602,0.974968655083979,"PMHS"
12.05,2.8725,2.87479051142299,1.00610948857701,"PMHS"
24.05,2.817,2.87479051142299,1.00610948857701,"PMHS"
0,0.04185,0.04185,0.981733333,"PMLF"
1.05,0.61425,0.614166633106829,0.40941669989317,"PMLF"
6.05,0.788,0.801994611778918,0.221588721221079,"PMLF"
12.05,0.81615,0.802234414478871,0.221348918521125,"PMLF"
24.05,0.87225,0.802234495076842,0.221348837923151,"PMLF"
0,0.0721,0.0721,0.939266667,"PMLS"
1.05,0.454,0.454032943809513,0.557333723190487,"PMLS"
6.05,0.57375,0.57021063504393,0.441156031956071,"PMLS"
12.05,0.5668,0.570322823647526,0.441043843352478,"PMLS"
24.05,0.58425,0.570322850617568,0.441043816382432,"PMLS"
